KOORDINATE;RADIJ;TIP;IME;INFORMACIJE
150700N1005900E,150700N1005000E,145500N1005000E,145500N1005900E;;P;VT P4 Muang Kom;"Type of restriction : RTAF Flying Training
Nature of hazard, activity : Bombing / Air Firing Area
Time of activity : Mon - Fri, H24
Permission to entry : Only authorized aircraft
Inflight information : Chandy Tower freq. 134.75 MHZ or 285.4 MHZ
Contact agency : Chandy Tower Tel: 025346000 ext. 25884"
123845N1005300E;4;P;VT P7 Sattahip;"Type of restriction : Naval Base
Nature of hazard, activity : National security area
Time of activity : H24
Permission to entry : Only authorized aircraft by RTN
Inflight information : U-Tapao Approach freq. 119.7 MHZ or 273.3 MHZ
Contact agency : Royal Thai Naval Air Division Tel. (038) 245193, 245600"
125613N1021250E;17;P;VT P36 Khao Soidao Tai;"Type of restriction : RTN Area
Nature of hazard, activity : Military operations
Time of activity : Sunset to sunrise
Permission to entry : Only authorized aircraft by RTN
Inflight information : Trat Approach freq. 120.25 MHZ
Contact agency : Chanthaburi and Trat Border Defense Tel. (039) 312334,
311099"
123419N1023635E;14;P;VT P37 Khao Khlong Oa;"Type of restriction : RTN Area
Nature of hazard, activity : Military operations
Time of activity : Sunset to sunrise
Permission to entry : Only authorized aircraft by RTN
Inflight information : Trat Approach freq. 120.25 MHZ
Contact agency : Chanthaburi and Trat Border Defense Tel. (039) 312334,
311099"
121737N1021424E,120945N1023432E,114630N1025324E,113800N1025530E,113000N1023000E,120000N1021100E,121737N1021424E;;P;VT P38 Ko Chang - Ko Khud;"Type of restriction : RTN Area
Nature of hazard, activity : Military operations
Time of activity : Sunset to sunrise
Permission to entry : Only authorized aircraft by RTN
Inflight information : Trat Approach freq. 120.25 MHZ
Contact agency : Chanthaburi and Trat Border Defense Tel. (039) 312334,
311099"
134554N1003218E;10;R;VT R1 Bangkok City;"Type of restriction : Congested Area
Nature of hazard, activity : -
Time of activity : H24
Permission to entry : Only authorized aircraft by CAAT
Inflight information : Don Mueang APP freq 119.4 or Bangkok APP freq
125.8 MHZ or 262.5 MHZ
Contact agency : CAAT, Flight formalities department."
134605.18N1003116.44E;1;R;VT R2 Chitrlada Palace;"Type of restriction : Royal Residence Area
Nature of hazard, activity : -
Time of activity : H24
Permission to entry : As specified condition:
1. Authorized aircraft; or
2. HOSP or MEDEVAC aircraft, prior coordination with ATC is required
Any occurrence of entry into restricted area shall be reported to CAAT.
Inflight information : Don Mueang APP freq 119.4 or Bangkok APP freq
125.8 MHZ or 262.5 MHZ
Contact agency : CAAT, Air Navigation Service Standards Department."
123522.19N995710.69E;1;R;VT R3 Hua Hin Palace;"Type of restriction : Royal Residence Area
Nature of hazard, activity : -
Time of activity : Notified by NOTAM
Permission to entry : As specified condition:
1. Authorized aircraft; or
2. HOSP or MEDEVAC aircraft, prior coordination with ATC is required
Any occurrence of entry into restricted area shall be reported to CAAT.
Inflight information : Hua Hin Approach, AEROTHAI.
Contact agency : CAAT, Air Navigation Service Standards Department."
184820N985357E;2;R;VT R5 Phu Phing Palace;"Type of restriction : Royal Residence Area
Nature of hazard, activity : -
Time of activity : Notified by NOTAM
Permission to entry : As specified condition:
1. Authorized aircraft; or
2. HOSP or MEDEVAC aircraft, prior coordination with ATC is required
Any occurrence of entry into restricted area shall be reported to CAAT.
Inflight information : Chiang Mai Approach, AEROTHAI.
Contact agency : CAAT, Air Navigation Service Standards Department."
062522.11N1015218.93E;5;R;VT R6 Thak Sin Palace;"Type of restriction : Royal Residence Area
Nature of hazard, activity : -
Time of activity : Notified by NOTAM
Permission to entry : As specified condition:
1. Authorized aircraft; or
2. HOSP or MEDEVAC aircraft, prior coordination with ATC is required
Any occurrence of entry into restricted area shall be reported to CAAT.
Inflight information : Narathiwat Approach, AEROTHAI.
Contact agency : CAAT, Air Navigation Service Standards Department."
